{'water-level': {'capacity': 1000.0, 'volume': 642.165, 'timer': 0, 'thing_id': '1-new', 'counter': 1}}
{'water-level': {'capacity': 1000.0, 'volume': 642.508, 'timer': 56793, 'thing_id': '1-new', 'counter': 2}}
{'water-level': {'capacity': 1000.0, 'volume': 642.68, 'timer': 15234, 'thing_id': '1-new', 'counter': 3}}
{'water-level': {'capacity': 1000.0, 'volume': 770.515, 'timer': 18367, 'thing_id': '1-new', 'counter': 4}}
{'water-level': {'capacity': 1000.0, 'volume': 770.687, 'timer': 14468, 'thing_id': '1-new', 'counter': 5}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 15488, 'thing_id': '1-new', 'counter': 6}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 17520, 'thing_id': '1-new', 'counter': 7}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 13918, 'thing_id': '1-new', 'counter': 8}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 16915, 'thing_id': '1-new', 'counter': 9}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 14500, 'thing_id': '1-new', 'counter': 10}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 14030, 'thing_id': '1-new', 'counter': 11}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 16840, 'thing_id': '1-new', 'counter': 12}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 13803, 'thing_id': '1-new', 'counter': 13}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 16539, 'thing_id': '1-new', 'counter': 14}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 13878, 'thing_id': '1-new', 'counter': 15}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 14349, 'thing_id': '1-new', 'counter': 16}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 16605, 'thing_id': '1-new', 'counter': 17}}
{'water-level': {'capacity': 1000.0, 'volume': 917.938, 'timer': 13704, 'thing_id': '1-new', 'counter': 18}}
{'water-level': {'capacity': 1000.0, 'volume': 917.766, 'timer': 13898, 'thing_id': '1-new', 'counter': 19}}
{'water-level': {'capacity': 1000.0, 'volume': 726.701, 'timer': 13733, 'thing_id': '1-new', 'counter': 20}}
{'water-level': {'capacity': 1000.0, 'volume': 726.701, 'timer': 14687, 'thing_id': '1-new', 'counter': 21}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 19252, 'thing_id': '1-new', 'counter': 22}}
{'water-level': {'capacity': 1000.0, 'volume': 727.044, 'timer': 16503, 'thing_id': '1-new', 'counter': 23}}
{'water-level': {'capacity': 1000.0, 'volume': 726.701, 'timer': 15010, 'thing_id': '1-new', 'counter': 24}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 15443, 'thing_id': '1-new', 'counter': 25}}
{'water-level': {'capacity': 1000.0, 'volume': 747.147, 'timer': 16037, 'thing_id': '1-new', 'counter': 26}}
{'water-level': {'capacity': 1000.0, 'volume': 747.147, 'timer': 19933, 'thing_id': '1-new', 'counter': 27}}
{'water-level': {'capacity': 1000.0, 'volume': 746.975, 'timer': 14489, 'thing_id': '1-new', 'counter': 28}}
{'water-level': {'capacity': 1000.0, 'volume': 543.368, 'timer': 13888, 'thing_id': '1-new', 'counter': 29}}
{'water-level': {'capacity': 1000.0, 'volume': 529.106, 'timer': 13945, 'thing_id': '1-new', 'counter': 30}}
{'water-level': {'capacity': 1000.0, 'volume': 543.196, 'timer': 13873, 'thing_id': '1-new', 'counter': 31}}
{'water-level': {'capacity': 1000.0, 'volume': 543.196, 'timer': 17020, 'thing_id': '1-new', 'counter': 32}}
{'water-level': {'capacity': 1000.0, 'volume': 533.23, 'timer': 14288, 'thing_id': '1-new', 'counter': 33}}
{'water-level': {'capacity': 1000.0, 'volume': 533.23, 'timer': 14483, 'thing_id': '1-new', 'counter': 34}}
{'water-level': {'capacity': 1000.0, 'volume': 529.106, 'timer': 16451, 'thing_id': '1-new', 'counter': 35}}
{'water-level': {'capacity': 1000.0, 'volume': 529.106, 'timer': 13559, 'thing_id': '1-new', 'counter': 36}}
{'water-level': {'capacity': 1000.0, 'volume': 543.196, 'timer': 16562, 'thing_id': '1-new', 'counter': 37}}
{'water-level': {'capacity': 1000.0, 'volume': 537.354, 'timer': 13746, 'thing_id': '1-new', 'counter': 38}}
{'water-level': {'capacity': 1000.0, 'volume': 541.134, 'timer': 13945, 'thing_id': '1-new', 'counter': 39}}
{'water-level': {'capacity': 1000.0, 'volume': 541.306, 'timer': 17476, 'thing_id': '1-new', 'counter': 40}}
{'water-level': {'capacity': 1000.0, 'volume': 533.23, 'timer': 13787, 'thing_id': '1-new', 'counter': 41}}
{'water-level': {'capacity': 1000.0, 'volume': 537.182, 'timer': 13720, 'thing_id': '1-new', 'counter': 42}}
{'water-level': {'capacity': 1000.0, 'volume': 537.182, 'timer': 16792, 'thing_id': '1-new', 'counter': 43}}
{'water-level': {'capacity': 1000.0, 'volume': 537.182, 'timer': 13598, 'thing_id': '1-new', 'counter': 44}}
{'water-level': {'capacity': 1000.0, 'volume': 533.058, 'timer': 16627, 'thing_id': '1-new', 'counter': 45}}
{'water-level': {'capacity': 1000.0, 'volume': 537.182, 'timer': 14482, 'thing_id': '1-new', 'counter': 46}}
{'water-level': {'capacity': 1000.0, 'volume': 541.134, 'timer': 13688, 'thing_id': '1-new', 'counter': 47}}
{'water-level': {'capacity': 1000.0, 'volume': 537.182, 'timer': 16701, 'thing_id': '1-new', 'counter': 48}}
{'water-level': {'capacity': 1000.0, 'volume': 541.134, 'timer': 15529, 'thing_id': '1-new', 'counter': 49}}
{'water-level': {'capacity': 1000.0, 'volume': 541.134, 'timer': 18918, 'thing_id': '1-new', 'counter': 50}}
{'water-level': {'capacity': 1000.0, 'volume': 544.914, 'timer': 15335, 'thing_id': '1-new', 'counter': 51}}
{'water-level': {'capacity': 1000.0, 'volume': 541.134, 'timer': 16294, 'thing_id': '1-new', 'counter': 52}}
{'water-level': {'capacity': 1000.0, 'volume': 541.134, 'timer': 18052, 'thing_id': '1-new', 'counter': 53}}
{'water-level': {'capacity': 1000.0, 'volume': 541.306, 'timer': 15420, 'thing_id': '1-new', 'counter': 54}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 15490, 'thing_id': '1-new', 'counter': 55}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 16191, 'thing_id': '1-new', 'counter': 56}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 16336, 'thing_id': '1-new', 'counter': 57}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 18475, 'thing_id': '1-new', 'counter': 58}}
